ID_2,NAME_2,Offices,Trade,Hotels
158,Botkyrka,802.34,374.08,67.1
159,Danderyd,621.35,289.69,51.96
160,Ekero,267.64,124.78,22.38
161,Haninge,967.22,450.95,80.89
162,Huddinge,1553.9,724.47,129.95
163,Jarfalla,877.03,408.9,73.34
164,Lidingo,436.72,203.61,36.52
165,Nacka,1083.97,505.38,90.65
166,Norrtalje,788.1,367.44,65.91
167,Nynashamn,294.36,137.24,24.62
168,Sodertalje,1815.25,846.33,151.81
169,Salem,99.49,46.39,8.32
170,Sigtuna,1047.22,488.24,87.58
171,Sollentuna,908.6,423.62,75.99
172,Solna,2640.27,1230.98,220.8
173,Stockholm,20709.97,9655.62,1731.94
174,Sundbyberg,749.19,349.29,62.65
175,Taby,891.55,415.67,74.56
176,Tyreso,389.61,181.65,32.58
177,Upplands-Bro,275.55,128.47,23.04
178,Upplands-Vasby,613.23,285.91,51.28
179,Varmdo,343.96,160.36,28.76
180,Vallentuna,258.95,120.73,21.66
181,Vaxholm,110.22,51.39,9.22
182,Osthammar,344.65,160.69,28.82
183,Alvkarleby,116.62,54.37,9.75
184,Enkoping,583.53,272.06,48.8
185,Habo,184.79,86.15,15.45
186,Tierp,298.27,139.06,24.94
187,Uppsala,3518.77,1640.56,294.27
188,Arjang,153.13,71.4,12.81
189,Arvika,432.4,201.6,36.16
190,Eda,128.25,59.79,10.73
191,Filipstad,179.61,83.74,15.02
192,Forshaga,115.07,53.65,9.62
193,Grums,144.2,67.23,12.06
194,Hagfors,205.35,95.74,17.17
195,Hammaro,170.39,79.44,14.25
196,Karlstad,1794.41,836.61,150.06
197,Kil,130.66,60.92,10.93
198,Kristinehamn,399.76,186.38,33.43
199,Munkfors,73.3,34.18,6.13
200,Saffle,260.34,121.38,21.77
201,Storfors,54.58,25.45,4.56
202,Sunne,210.81,98.29,17.63
203,Torsby,215.87,100.65,18.05
204,Asele,47.56,22.18,3.98
205,Bjurholm,32.35,15.08,2.71
206,Dorotea,47.24,22.02,3.95
207,Lycksele,233.37,108.81,19.52
208,Mala,62.37,29.08,5.22
209,Nordmaling,99,46.16,8.28
210,Norsjo,73.79,34.4,6.17
211,Robertsfors,98.72,46.02,8.26
212,Skelleftea,1264.03,589.33,105.71
213,Sorsele,45.97,21.43,3.84
214,Storuman,96.88,45.17,8.1
215,Umea,2178.71,1015.78,182.2
216,Vannas,110.83,51.67,9.27
217,Vilhelmina,112.42,52.42,9.4
218,Vindeln,85.7,39.96,7.17
219,Ornskoldsvik,1014.05,472.78,84.8
220,Ange,190.5,88.82,15.93
221,Harnosand,432.03,201.43,36.13
222,Kramfors,332.25,154.91,27.79
223,Solleftea,344,160.38,28.77
224,Sundsvall,1922,896.1,160.73
225,Timra,228.64,106.6,19.12
226,Arboga,214.81,100.15,17.96
227,Fagersta,262.82,122.54,21.98
228,Hallstahammar,232.8,108.54,19.47
229,Heby,165.05,76.95,13.8
230,Koping,472.66,220.37,39.53
231,Kungsor,117.03,54.56,9.79
232,Norberg,69.71,32.5,5.83
233,Sala,307.61,143.42,25.73
234,Skinnskatteberg,67.18,31.32,5.62
235,Surahammar,138.69,64.66,11.6
236,Vasteras,2473.88,1153.4,206.89
237,Ockero,113.32,52.83,9.48
238,Amal,212.2,98.93,17.75
239,Ale,277.35,129.31,23.19
240,Alingsas,573.95,267.59,48
241,Bengtsfors,177.04,82.54,14.81
242,Boras,2040.46,951.33,170.64
243,Dals-Ed,85.7,39.96,7.17
244,Essunga,81.34,37.92,6.8
245,Fargelanda,96.39,44.94,8.06
246,Falkoping,511.17,238.32,42.75
247,Goteborg,11141.19,5194.36,931.72
248,Gotene,254.91,118.85,21.32
249,Grastorp,69.18,32.26,5.79
250,Gullspang,88.56,41.29,7.41
251,Harryda,484.81,226.04,40.54
252,Habo,137.84,64.26,11.53
253,Herrljunga,162.68,75.85,13.6
254,Hjo,122.91,57.3,10.28
255,Karlsborg,94.8,44.2,7.93
256,Kungalv,568.81,265.19,47.57
257,Lerum,351.47,163.86,29.39
258,Lidkoping,681.56,317.76,57
259,Lilla Edet,155.99,72.73,13.05
260,Lysekil,242.22,112.93,20.26
261,Molndal,1380.73,643.74,115.47
262,Mariestad,400.17,186.57,33.47
263,Mark,491.99,229.38,41.14
264,Mellerud,134.57,62.74,11.25
265,Mullsjoe,104.63,48.78,8.75
266,Munkedal,138.45,64.55,11.58
267,Orust,197.03,91.86,16.48
268,Partille,389.12,181.42,32.54
269,Skovde,1154.62,538.32,96.56
270,Skara,360.36,168.01,30.14
271,Sotenas,159.91,74.55,13.37
272,Stenungsund,427.58,199.35,35.76
273,Stromstad,209.51,97.68,17.52
274,Svenljunga,164.92,76.89,13.79
275,Toreboda,140.53,65.52,11.75
276,Tanum,209.88,97.85,17.55
277,Tibro,164.27,76.59,13.74
278,Tidaholm,199.88,93.19,16.72
279,Tjorn,164.15,76.53,13.73
280,Tranemo,226.6,105.65,18.95
281,Trollhattan,1252.97,584.17,104.78
282,Uddevalla,908.4,423.52,75.97
283,Ulricehamn,335.31,156.33,28.04
284,Vanersborg,553.67,258.14,46.3
285,Vargarda,202.41,94.37,16.93
286,Vara,317.49,148.02,26.55
